x-coordinate [m],y-coordinate [m],x-displacement [m],y-displacement [m]
0.000000000000000000e+00,2.000000000000000042e-02,1.210923340701492111e-05,-1.455137485714939828e-06
2.443536421825490829e-03,1.590363853821506052e-02,1.375354739187997086e-05,-8.699138774823662786e-07
5.000000000020689284e-03,2.000000000000000042e-02,1.548682373966924617e-05,-1.536434045611091241e-06
7.531760713421778441e-03,1.568714814725901546e-02,1.717116513600338451e-05,-8.821607842411518065e-07
4.999504327919811197e-03,1.133971356405899175e-02,1.547096871958429128e-05,-2.074235062597748138e-07
1.200419849653199672e-03,8.700490034775468923e-03,1.293980291506241009e-05,1.822250194919999824e-07
0.000000000000000000e+00,0.000000000000000000e+00,1.210974526274811087e-05,1.451686114608716240e-06
2.303196849978518534e-03,4.164041640535359398e-03,1.365638375719453771e-05,8.572131289045055113e-07
1.000000000001968065e-02,2.000000000000000042e-02,1.883529456016163047e-05,-1.560350310855007636e-06
1.250786195096474304e-02,1.571248485290116861e-02,2.051603643894951207e-05,-8.859758850740387777e-07
1.001089137621805070e-02,1.160955174932709610e-02,1.883278280194993485e-05,-2.549748884480357572e-07
7.409146242932020121e-03,7.174654191871871617e-03,1.708676386994432034e-05,4.256328471101019329e-07
4.999999999988138932e-03,0.000000000000000000e+00,1.548127022597965734e-05,1.529638574571000044e-06
1.500000000004035952e-02,2.000000000000000042e-02,2.218937050285549103e-05,-1.539132041579716004e-06
7.499999999985268451e-03,3.089002986201085620e-03,1.715132474667595367e-05,1.059450524420053666e-06
1.750371351107557830e-02,1.568022994631965150e-02,2.387259812291593961e-05,-8.422312211398206027e-07
1.501191742996678055e-02,1.156918622891871251e-02,2.218325789881004241e-05,-2.442467135422072510e-07
1.250010988546225096e-02,8.340378350422721077e-03,2.050397917705758878e-05,2.471835546295270577e-07
1.250230821631783187e-02,4.265319425319667561e-03,2.051187263700075282e-05,8.727587059878824052e-07
9.999999999982380622e-03,0.000000000000000000e+00,1.883022415213814947e-05,1.545448648937281903e-06
2.000000000005424175e-02,2.000000000000000042e-02,2.558251360988641912e-05,-1.473541613033538296e-06
2.229057790894281230e-02,1.573964084225819640e-02,2.708425422072811755e-05,-7.713235016343018353e-07
2.000000000005418624e-02,1.139459418740238622e-02,2.548758283801828102e-05,-1.964504887961608223e-07
1.756628616187659239e-02,7.083180156676254988e-03,2.389447393594202059e-05,4.100775618353636623e-07
1.499999999996644642e-02,0.000000000000000000e+00,2.218342868305702654e-05,1.526955676320491956e-06
2.500000000006815173e-02,2.000000000000000042e-02,2.910310071467755343e-05,-1.392069385682913104e-06
1.736733342155067847e-02,3.000099772614507956e-03,2.378886266096205988e-05,1.032674580761344328e-06
2.737020972161973223e-02,1.536258464470066816e-02,3.049744033349985627e-05,-6.331306960538326387e-07
2.407292757175145612e-02,1.212333826448509094e-02,2.811516627902971386e-05,-2.503033184600545933e-07
2.403424346654977825e-02,8.013607373164404607e-03,2.810923398262454024e-05,2.111844526773694873e-07
2.176807272964541642e-02,3.651999281076618101e-03,2.676646608000248780e-05,8.487760953047140976e-07
1.999999999994713298e-02,0.000000000000000000e+00,2.557082001312554521e-05,1.461951352210955957e-06
3.000000000007796777e-02,2.000000000000000042e-02,3.287095678918852909e-05,-1.471833462842939531e-06
3.223980835074959084e-02,1.637614860173535261e-02,3.412154825047045446e-05,-9.588933806933929871e-07
2.764584684622986219e-02,1.069619382382120017e-02,3.022535082541925519e-05,-8.997064599966450059e-08
2.678338009723399069e-02,3.694726752866445141e-03,3.017641906098907247e-05,7.181475832286340735e-07
2.499999999992509950e-02,0.000000000000000000e+00,2.907728460644089558e-05,1.344195805462245052e-06
3.500000000009727275e-02,2.000000000000000042e-02,3.702991726085921463e-05,-2.300783742185965403e-06
3.034893987109881994e-02,1.312535325138144450e-02,3.211941141708813687e-05,-3.498025862378468841e-07
2.940025161316464283e-02,6.798949907153682345e-03,3.153691848004294847e-05,2.846521373814356857e-07
3.659154054795421551e-02,1.654894436243325995e-02,3.779006109275883816e-05,-2.006103275821668406e-06
3.427330785288551507e-02,1.320679813145571833e-02,3.458733004499620154e-05,-4.582216016060627349e-07
3.189043796489815508e-02,1.002599308788085057e-02,3.238181932819216588e-05,-1.448374379477162652e-08
2.999999999992067692e-02,0.000000000000000000e+00,3.287833426155860344e-05,1.399248414089278070e-06
3.185718389473046752e-02,3.428475384262190048e-03,3.385400315281025921e-05,9.059773475614269651e-07
4.000000000010710266e-02,2.000000000000000042e-02,4.079526180887365781e-05,-3.355350385160522914e-06
3.395947164385887396e-02,6.579724727082873412e-03,3.444571259394176661e-05,4.328914150165272588e-07
4.008256148114600070e-02,1.602455628455249498e-02,4.088808172298531815e-05,-2.728825317606852802e-06
3.799999999647134252e-02,1.346410161310048967e-02,3.757790048063247936e-05,-1.855962349908435426e-06
3.599999999999999034e-02,1.000000000000000021e-02,3.355634767167489879e-05,-2.072421077275605728e-08
3.499999999990406618e-02,0.000000000000000000e+00,3.702784449598828579e-05,2.265186210772359462e-06
3.645568234666063390e-02,3.419923700755157954e-03,3.766873746064929544e-05,1.942562067071908418e-06
4.354431765621695483e-02,1.658007629704226146e-02,4.391997499867860615e-05,-1.960968264982279987e-06
3.800000001440158315e-02,6.535898376547476414e-03,3.754698488924979548e-05,1.812764140243578059e-06
4.500000000009930778e-02,2.000000000000000042e-02,4.456080340616615926e-05,-2.283556441715566554e-06
4.199999999341337553e-02,1.346410161894055421e-02,4.404175402660058509e-05,-1.831197352855599695e-06
3.999999999988339272e-02,0.000000000000000000e+00,4.079339357900279043e-05,3.336892664296798909e-06
3.991743852718539209e-02,3.975443716638409584e-03,4.070063392996190263e-05,2.710369839825623648e-06
4.200000001271150807e-02,6.535898392201238555e-03,4.401084189707350671e-05,1.837481438861548751e-06
4.814281610488382879e-02,1.657152461245835207e-02,4.773472375152195102e-05,-9.242567628273334484e-07
4.604052835765218288e-02,1.342027526630216669e-02,4.714301390712022583e-05,-4.512796914470422239e-07
4.340845946045715498e-02,3.451055641520449357e-03,4.379864853788964762e-05,1.987597359802584138e-06
4.399999999999999745e-02,1.000000000000000021e-02,4.803239419916170629e-05,2.267420907814995933e-09
4.572669215125049758e-02,6.793201870641595724e-03,4.700140784658506278e-05,4.397071227278095663e-07
5.000000000008202050e-02,2.000000000000000042e-02,4.871033740213652995e-05,-1.417411157752672312e-06
4.810956202934860149e-02,9.974006907113978221e-03,4.920688512671754896e-05,-3.966925555798012797e-09
5.321661989747887567e-02,1.630527324474354348e-02,5.141237985265866749e-05,-7.360964283917425671e-07
5.059974838083944326e-02,1.320105008530058667e-02,5.005174274324761512e-05,-3.028985077039439127e-07
4.499999999990338118e-02,0.000000000000000000e+00,4.455873345115818199e-05,2.282237037548003138e-06
4.776019165317300919e-02,3.623851400206113023e-03,4.746716066502005020e-05,9.402760738485291733e-07
4.965106012815805048e-02,6.874646747767843187e-03,4.946929249860001072e-05,3.311875460926298108e-07
5.500000000006743939e-02,2.000000000000000042e-02,5.251164180668057478e-05,-1.361893337321620855e-06
5.235415314576657986e-02,9.303806171408923048e-03,5.136318076877595450e-05,7.147305194920660807e-08
5.823192726590074864e-02,1.634800071899824431e-02,5.482242604748220377e-05,-8.661459200113952203e-07
5.596575651317720057e-02,1.198639263129407627e-02,5.347902358505941621e-05,-2.292731998791652727e-07
